,V4_bck,V4_fig1,V4_fig2
338,0.15620135849537345,0.44843128163403245,0.43936357808256393
339,0.15631812670677128,0.4482144749028871,0.4391439095362653
340,0.15643408660876515,0.4480002610327572,0.4389260221946509
341,0.1565491911727861,0.44778865596020434,0.43870994813480263
342,0.15666339465755785,0.4475796790093215,0.4384957187221996
343,0.15677665262534546,0.4473733486460787,0.43828336445012384
344,0.15688892195738355,0.44716968231652754,0.43807291490813954
345,0.15700016086845306,0.4469686964418919,0.43786439874493666
346,0.15711032892058802,0.44677040641792864,0.4376578436397414
347,0.1572193870358921,0.4465748266251203,0.43745327628087394
348,0.15732729750844293,0.44638197045199957,0.4372507226394747
349,0.15743402401526407,0.4461918504006088,0.4370502077504888
350,0.15753953162666615,0.44600447799544946,0.43685175564732076
351,0.15764378681586863,0.4458198637797997,0.43665538936099335
352,0.15774675746761713,0.4456380173313208,0.43646113091399386
353,0.15784841288578313,0.4454589473201935,0.43626900131808477
354,0.15794872379993413,0.44528266149108414,0.43607902057290854
355,0.1580476623708618,0.4451091666543391,0.43589120766634915
356,0.1581452021950594,0.44493846869994597,0.4357055805831642
357,0.1582413183081501,0.4447705726007153,0.43552215631751695
358,0.1583359871872544,0.44460548240564407,0.4353409508659145
359,0.15842918675230047,0.44444320123938963,0.4351619792365965
360,0.15852089636626038,0.44428373277945177,0.4349852554598116
361,0.1586110968343092,0.44412708352917735,0.43481079259810607
362,0.15869977040190736,0.44397325894090933,0.43463860275677946
363,0.158786900751806,0.4438222634248629,0.4344686971425612
364,0.1588724729999791,0.4436741003601055,0.43430108606825385
365,0.1589564736904902,0.443528772107789,0.4341357792238923
366,0.15903889078929712,0.44338628002582026,0.43397278550361473
367,0.159119713676997,0.44324662448434515,0.43381211285482246
368,0.1591989331405207,0.44310980488428175,0.4336537683471339
369,0.15927654136401884,0.4429758196758117,0.4334977604209002
370,0.1593525319193937,0.4428446663946196,0.4333441008560192
371,0.15942689977206667,0.4427163416743246,0.4331928007442695
372,0.15949964130375638,0.4425908412568161,0.43304387027978875
373,0.1595707542403812,0.4424681600049405,0.43289731861812775
374,0.15964023769579003,0.44234829191719754,0.4327531539184772
375,0.1597080921196818,0.44223123014368965,0.43261138356032774
376,0.15977431925600805,0.44211696700293057,0.4324720142881237
377,0.15983892212874745,0.4420054939991214,0.43233505192856314
378,0.15990190502640225,0.4418968018399668,0.43220050140205574
379,0.15996327348529488,0.4417908804551291,0.4320683667315036
380,0.16002303427174477,0.4416877190151491,0.43193865105402696
381,0.16008119536316529,0.44158730595073803,0.43181135663495257
382,0.1601377659281382,0.44148962907235445,0.4316864848834443
383,0.1601927563055256,0.44139467555644235,0.43156403636939655
384,0.16024617798266697,0.4413024319250836,0.4314440117577056
385,0.16029804357270502,0.4412128842339715,0.43132641403279054
386,0.16034836679110087,0.44112601994907596,0.43121124905238617
387,0.1603971624314112,0.44104182544251924,0.43109852111697394
388,0.16044444634032412,0.44096028608647087,0.4309882331236747
389,0.1604902353919978,0.440881387507588,0.43088038669412243
390,0.16053454746174278,0.44080511435457853,0.43077498228328137
391,0.16057740139908816,0.44073145125565527,0.43067201926585724
392,0.16061881700027208,0.44066038229739535,0.43057149635522
393,0.160658814980217,0.4405918904836472,0.4304734116580559
394,0.16069741694402573,0.44052595787360477,0.4303777622271861
395,0.1607346453580145,0.44046256569565195,0.4302845441378153
396,0.1607705235203279,0.44040169444206784,0.43019375255177944
397,0.16080507553119489,0.440343323945802,0.43010538177557395
398,0.16083832626286584,0.44028743411801086,0.4300194253652189
399,0.16087030132923424,0.4402340049548889,0.4299358769364458
400,0.16090102705518172,0.4401830162991235,0.4298547291785561
401,0.16093053044567834,0.4401344473994052,0.429775973926341
402,0.16095883915467313,0.44008827674097917,0.42969960222085085
403,0.1609859814538113,0.4400444939514245,0.42962560436128217
404,0.1610119862010124,0.4400030977460292,0.42955396998634715
405,0.16103688280894435,0.4399640856658745,0.42948468826185376
406,0.16106070121355062,0.4399274541261447,0.4294177485340421
407,0.1610834718425523,0.43989319845782276,0.4293531396001456
408,0.1611052255839463,0.4398613129443616,0.42929084968455644
409,0.1611259937545255,0.43983179085435176,0.4292308664703512
410,0.161145808068453,0.43980462447140967,0.42917317695647805
411,0.1611647006059228,0.43977980512219395,0.4291177675114178
412,0.16118270378194016,0.43975732321028677,0.42906462391954425
413,0.1611998503152751,0.43973716824028,0.42901373142142646
414,0.1612161731975961,0.43971932883346904,0.4289650747490801
415,0.16123170566368317,0.4397037927498511,0.42891863815721
416,0.16124648116229784,0.43969054690917,0.4288744054516208
417,0.16126053332724485,0.43967957741126634,0.42883236001504527
